,tarih,city,city2,title,content,suc_turu
1400,2024-03-09 00:00:00,bozova,şanlıurfa,Şanlıurfa'da Antep Fıstığı Hırsızlığı Suspectleri Gözaltına Alındı,"  Şanlıurfa'nın Bozova ilçesinde Antep fıstığı çaldıkları iddiasıyla 6 şüpheli gözaltına alındı. Jandarma ekipleri, Tozluca Mahallesi'nde fıstık hırsızlığına ilişkin yürütülen çalışmalarda, şüphelileri Şanlıavşar Mahallesi'nde suçüstü yakaladı. Gözaltına alınan şüpheliler, ifadeleri alınmak üzere İl Jandarma Komutanlığı'na götürüldü.  ",Mala Karşı İşlenen Suçlar
1403,2021-01-07 00:00:00,bozova,şanlıurfa,Son dakika haberleri! ŞANLIURFA'DA UYUŞTURUCU OPERASYONUNA 1 GÖZALTI,  Son dakika haber: ŞANLIURFA'da jandarma ekipleri tarafından düzenlenen uyuşturucu operasyonunda bir kişi gözaltına alındı.  ,Narkotik Suçları
1404,2024-08-16 00:00:00,bozova,şanlıurfa,Şanlıurfa'da Atatürk Barajı gölünde 2 kişi boğuldu,"  Şanlıurfa'nın Bozova ilçesinde serinlemek için Atatürk Barajı gölüne giren 2 kişi boğuldu. İbrahim Çiftçi (31) ve Vedat Akbaş (17) serinlemek için baraj gölüne girdi ve bir süre sonra gözden kayboldu. Cenazeler, Bozova Devlet Hastanesi morgundaki işlemlerin ardından otopsi için Şanlıurfa Adli Tıp Kurumuna götürüldü.  ",Şiddet Suçları
1409,2022-02-08 00:00:00,boztepe,kırşehir,Kayıp kişi arazide öldürülmüş halde bulundu,"  Kırşehir'de, 2 gün önce kaybolan kişi arazide darbedilerek öldürülmüş halde bulundu, bir şüpheli gözaltına alındı.  ",Şiddet Suçları
1411,2022-08-21 00:00:00,boztepe,kırşehir,Ordu'da yamaç paraşütü kumsala düştü: 2 yaralı,"  Ordu'da, Boztepe'den hareket ederek tandem uçuş yapan yamaç paraşütü kontrolden çıkarak yaklaşık 20 metre yükseklikten kumsala düştü.  ",Şiddet Suçları
1425,2024-10-23 00:00:00,bozüyük,bilecik,Bilecik'te Uyuşturucu Yakalandı,"  Şehirlerarası otobüsle seyahat eden şahıs, dinlenme tesislerinde uyuşturucu ile yakalandı.  ",Narkotik Suçları
1427,2024-02-11 00:00:00,bozüyük,bilecik,Bozüyük'te Uyuşturucu Operasyonu: Bir Şüpheli Yakalandı,"  Bozüyük'te polis, uyuşturucu maddenin taşıdığı şüphesiyle bir aracı durdurdu, 21 gram madde ele geçirdi.  ",Narkotik Suçları
1441,2022-03-25 00:00:00,boğazlıyan,yozgat,Yozgat'ta 1665 adet tarihi eser ele geçirildi,  YOZGAT'ta jandarma ekipleri tarafından durdurulan 2 otomobilde çeşitli dönemlere ait 1665 adet tarihi eser ele geçirildi.  ,Mala Karşı İşlenen Suçlar
1454,2024-11-14 00:00:00,buca,i̇zmir,Polis Kılığına Giren Dolandırıcı Yakalandı,"  İzmir'de 4 kişiyi dolandıran K.A., Muğla'da yakalandı. 2 milyon lira değerinde hüsran.  ",Ekonomik Suçlar
1456,2024-08-11 00:00:00,bucak,burdur,Bucak'ta Zincirleme Kaza: 2 Ölü,"  TIR ile 3 otomobilin karıştığı kazada 2 kişinin cenazesi çıkarıldı, 6 yaralı hastanelerde tedavi ediliyor.  ",Şiddet Suçları
1466,2024-07-23 00:00:00,buharkent,aydın,Aydın'da Uzun Süre Haber Alınamayan Yaşlı Kadın Evde Ölü Bulundu,"  Aydın'ın Buharkent ilçesinde kendisinden uzun süredir haber alınamayan yaşlı kadın, evinde ölü bulundu. Huriye Çalışkan'dan (85) uzun süre haber alamayan yakınları, durumu 112 Acil Çağrı Merkezi'ne bildirdi. Yaşlı kadın evde hareketsiz yatar halde bulunurken, sağlık ekipleri tarafından yapılan kontrolde yaşlı kadının hayatını kaybettiği belirlendi.  ",Şiddet Suçları
1468,2024-08-07 00:00:00,buharkent,aydın,Aydın'da Uyuşturucu Kullanan 6 Şüpheli Hakkında Adli İşlem Başlatıldı,"  Aydın'ın Buharkent, Çine ve Kuşadası ilçelerinde jandarma ekipleri tarafından yapılan çalışmalarda uyuşturucu kullandıkları tespit edilen 6 şüpheli hakkında adli işlem başlatıldı.  ",Narkotik Suçları
1471,2024-08-20 00:00:00,buharkent,aydın,"Aydın'da Motosikletli Genç Kasisi Fark Etmedi, Kaza Yaptı",  Aydın'ın Buharkent ilçesinde yeni yapılan kasisi fark etmeyen bir genç motosikletiyle kaza yaptı. Kaza anı güvenlik kameralarına yansıdı.  ,Şiddet Suçları
1472,2024-02-14 00:00:00,bulancak,giresun,Giresun Bulancak'ta Ev Yangınında Bir Kişi Hayatını Kaybetti,"  Giresun'un Bulancak ilçesinde, İhsaniye Mahallesi'nde bir apartmanın ikinci katındaki dairede çıkan yangında 70 yaşındaki K.A. hayatını kaybetti. İtfaiye ekiplerinin müdahalesiyle yangın söndürüldü ve K.A.'nın cenazesi Bulancak Devlet Hastanesi morguna götürüldü.  ",Şiddet Suçları
1476,2024-04-10 00:00:00,bulancak,giresun,"Bulancak'ta Feci Kaza: 1 Ölü, 3 Yaralı","  Giresun'un Bulancak ilçesinde ehliyetsiz sürücünün kazasında 1 kişi hayatını kaybetti, 3 yaralı.  ",Şiddet Suçları
1477,2024-03-29 00:00:00,bulancak,giresun,"Giresun'da trafik kazası: 1 ölü, 2 yaralı","  Giresun'un Bulancak ilçesinde meydana gelen trafik kazasında 1 kişi hayatını kaybetti, 2 kişi ise yaralandı. Kazada, İlyas Kır yönetimindeki araç, direksiyon hakimiyetinin kaybedilmesi sonucu üst geçidin ayağına çarptı. Yaralılar hastanede tedavi altına alındı.  ",Şiddet Suçları
1489,2024-02-10 00:00:00,buldan,denizli,Arkadaş Bıçakla Yaraladı,"  Denizli'de CHP Gençlik Kolları Başkanı Mehmet Karaca, tartışma sonrası arkadaşı tarafından bıçaklandı.  ",Şiddet Suçları
1490,2024-09-24 00:00:00,buldan,denizli,Jandarma Kenevir Yetiştirenleri Fotokapanla Yakalandı,"  Denizli Buldan'da jandarma, ormanda kenevir yetiştiren iki kişiyi fotokapanla suçüstü yakaladı.  ",Narkotik Suçları
1493,2024-03-10 00:00:00,buldan,denizli,Buldan'da Kadın Ölü Bulundu,"  Denizli'nin Buldan ilçesinde, 50 yaşındaki Naciye Algan evinde ölü olarak bulundu.  ",Şiddet Suçları
1494,2024-10-18 00:00:00,buldan,denizli,Hamile Eşini Öldüren Koca Ağırlaştırılmış Müebbet Hapis Cezası Aldı,"  Denizli'de hamile eşi Hatice Çaltı'yı öldüren Ramazan Çaltı, bölge mahkemesi tarafından ağırlaştırılmış müebbet hapis cezasına çarptırıldı.  ",Şiddet Suçları
1496,2024-11-15 00:00:00,burdur,burdur,Oto yıkamacıya verdiği lüks otomobili 150 bin TL hasarla geri aldı,  Oto yıkamacıya verdiği lüks otomobili 150 bin TL hasarla geri aldı İzinsiz bir şekilde arabayla gezen oto yıkama personelinin arabada büyük hasar oluşturduğunu iddia etti Hasarı karşılayacağız diyen iş yeri sahibi sonradan vazgeçince taraflar mahkemelik oldu Burdur'da belediyeye ait katlı...  ,Mala Karşı İşlenen Suçlar
1497,2024-11-14 00:00:00,burdur,burdur,Burdur'da Motosiklet Kazası: Genç Sürücü Hayatını Kaybetti,  Burdur'da meydana gelen trafik kazasında hayatını kaybeden motosiklet sürücüsü Mehmet Aktaş memleketinde defnedildi.  ,Şiddet Suçları
1502,2024-11-26 14:11:00,burdur,burdur,Çavdır'da Eski Eşini Öldüren Tarık Y. Hakkında İddianame,"  Burdur Çavdır'da, Tarık Y. eski eşi Özlem Şımarık'ı öldürmekten ağırlaştırılmış müebbetle yargılanacak.  ",Şiddet Suçları
1508,2024-02-08 00:00:00,burhaniye,balıkesir,Balıkesir'de 12 düzensiz göçmen ve 2 insan kaçakçısı yakalandı,"  Balıkesir'in Burhaniye ilçesinde yapılan operasyonda, kıyı şeridini kullanarak yasa dışı yollardan yurt dışına çıkmak isteyen 12 düzensiz göçmen ve onlara aracılık eden 2 insan kaçakçısı yakalandı. Operasyonda 4 el pompası, 2 can yeleği ve 7 iç lastik ele geçirildi. Gözaltına alınan insan kaçakçıları ile yakalanan düzensiz göçmenler İl Göç İdaresine teslim edildi.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
1520,2024-11-13 00:00:00,bünyan,kayseri,Bünyan'da Taşlı Saldırı,"  Kayseri Bünyan'da yaşlı bir kadının evine taşla saldırı yapıldı, soruşturma başlatıldı.  ",Şiddet Suçları
1534,2024-10-17 00:00:00,büyükorhan,bursa,Bursa'da Traktör Devrildi: 6 Yaralı,"  Bursa'da servis aracıyla okula giden öğrencilerin bindiği traktör devrildi, 6 kişi yaralandı.  ",Şiddet Suçları
1537,2024-10-24 00:00:00,büyükçekmece,i̇stanbul,İstanbul'da 21 kg Uyuşturucu Operasyonu,  Büyükçekmece'de düzenlenen operasyonda 21 kg uyuşturucu ve 3 şüpheli yakalandı.  ,Narkotik Suçları
1541,2024-09-29 00:00:00,büyükçekmece,i̇stanbul,Büyükçekmece'de Şüpheli İntihar Etti,"  Polis, aranan şüpheliye operasyon düzenlerken, şüpheli evde intihar etti.  ",Şiddet Suçları
1542,2024-11-26 11:52:00,büyükçekmece,i̇stanbul,İstanbul'daki aile katliamında 3 kişinin daha cansız bedeni bulundu,"  İstanbul Büyükçekmece'deki aile faciasında dün 5 kişi hayatını kaybetmişti. Katliam yapıp kendi canına da kıyan Bahadır Aladağ'ın eşini, 10 yaşındaki çocuğunu ve kayınvalidesini de öldürdüğü ortaya çıktı. 3 kişinin cansız bedeni göl kenarında bulundu.  ",Şiddet Suçları
1546,2024-09-30 00:00:00,canik,samsun,Samsun'da Atık Su Kuyusuna Düşen İşçi Kurtarıldı,"  Samsun'un Canik ilçesinde atık su pompa kuyusuna düşen işçi, mesai arkadaşları tarafından kurtarılarak hastaneye kaldırıldı. Olay ile ilgili polis inceleme başlattı.  ",Şiddet Suçları
1548,2024-10-30 00:00:00,canik,samsun,Samsun'da şüpheli ölüm: Kayıp Alzheimer hastası kadın ormanda ölü bulundu,"  Samsun'un Canik ilçesinde beş gündür her yerde aranan 80 yaşındaki Alzheimer hastası kadın, ormanlık alanda ölü bulundu.  ",Şiddet Suçları
1556,2024-09-19 00:00:00,ceyhan,adana,CHP'li Başkan Aydar'a Hapis Cezası Onandı,  Ceyhan Belediye Başkanı Kadir Aydar'a 'tehdit' suçundan hapis cezası ve siyasi yasak getirildi.  ,Şiddet Suçları
1558,2024-03-09 00:00:00,ceyhan,adana,Ceyhan'da Yeğeninin Saldırısına Uğrayan Traktör Galerisi Sahibi Hayatını Kaybetti,"  Adana'nın Ceyhan ilçesinde traktör galerisi işleten 60 yaşındaki Ali K, yeğeni İ.K. tarafından silahlı saldırıya uğradı. Saldırıda ağır yaralanan Ali K, hastanede hayatını kaybetti. Olayın ardından polis, saldırgan İ.K.'yı gözaltına aldı.  ",Şiddet Suçları
1559,2024-09-18 00:00:00,ceyhan,adana,Ceyhan'da Uyuşturucu ile Mücadele İçin Farkındalık Semineri Düzenlendi,"  Ceyhan Belediye Başkanı Kadir Aydar, uyuşturucu ile mücadelede bilinçlenmenin önemine vurgu yaparak, toplumsal iş birliğinin şart olduğunu belirtti. Ceyhan Emniyet Müdürlüğü tarafından yapılan seminerde, madde bağımlılığının etkileri ve alınabilecek önlemler ele alındı.  ",Narkotik Suçları
1560,2023-05-08 00:00:00,ceylanpınar,şanlıurfa,Ceylanpınar'da cinayet suçundan hükümlü 3 kişi yakalandı,"  Şanlıurfa'nın Ceylanpınar ilçesinde, cinayet suçundan haklarında 25'şer yıl kesinleşmiş hapis cezası bulunan 3 hükümlü yakalandı. İl Jandarma Komutanlığı Jandarma Suç Araştırma Timi (JASAT), İstihbarat ve İlçe Jandarma ekiplerinin aranan kişilere yönelik çalışmaları sürdü. Ekipler, 2018 yılında Saraççeşme Mahallesi'nde arazi anlaşmazlığı nedeniyle S.C'nin öldürülmesiyle ilgili olarak, haklarında kesinleşmiş 25'er yıl cezası bulunan 3 hükümlünün saklandığı adresi tespit etti. Jandarma ekipleri, söz konusu adreste N.K, M.K. ve A.K'yi yakaladı. Hükümlüler, jandarmadaki işlemlerinin ardından cezaevine teslim edildi.  ",Şiddet Suçları
1561,2023-07-22 00:00:00,ceylanpınar,şanlıurfa,Şehit Polisler İçin Mevlit Okutuldu,"  Şanlıurfa'nın Ceylanpınar ilçesinde evlerinde şehit edilen polis memurları Feyyaz Yumuşak ile Okan Acar için mevlit okutuldu. İlçedeki Ulu Cami'de düzenlenen mevlit programında şehit polisler için Kur'an-ı Kerim okundu, dualar edildi. Ceylanpınar Belediyesi Kültür ve Sosyal İşler Müdürlüğü ekipleri, programa katılan vatandaşlara ikramda bulundu. Programa Ceylanpınar Kaymakamı Emrah Uzun, Belediye Başkanı Feyyaz Soylu, İlçe Emniyet Müdür Vekili Arkın Eydın ile polis meslektaşları ve vatandaşlar katıldı. Terör örgütü PKK mensupları, 22 Temmuz 2015'te Ceylanpınar İlçe Emniyet Müdürlüğünde görevli polisler Feyyaz Yumuşak ve Okan Acar'ı evlerinde uyurken şehit etmişti.  ",Şiddet Suçları
1562,2024-07-05 00:00:00,ceylanpınar,şanlıurfa,Gelinin duvağını topladığı sırada maganda kurşunuyla ağır yaralandı,"  Şanlıurfa'nın Ceylanpınar ilçesinde düzenlenen bir düğünde, gelinin duvağını toplamaya çalışan Zemzem Özdemir isimli kadın, havaya açılan rastgele ateş sonucu ağır yaralandı. Olay cep telefonu kamerasına yansıdı. Jandarma ekipleri, şüphelilerin yakalanması için çalışma başlattı.  ",Şiddet Suçları
1563,2023-04-12 00:00:00,ceylanpınar,şanlıurfa,Ceylanpınar'da çalınan otomobil sahte plakayla bulundu,"  Ceylanpınar ilçesinde çalınan otomobil, polis tarafından sahte plakayla Viranşehir ilçesinde bulundu. Ceylanpınar Emniyet ekipleri, otomobili sahibine teslim ederken, hırsızlığı yapan şahsın tespit edilmesi için çalışma başlattı.  ",Mala Karşı İşlenen Suçlar
1565,2024-11-20 00:00:00,ceylanpınar,şanlıurfa,Yaban Güvercini Katliamına Cezalar Kesildi,  Ceylanpınar'da 5 şahsa 61 yaban güvercini katliamı nedeniyle toplam 224 bin 625 lira ceza verildi.  ,Ekonomik Suçlar
1566,2024-09-29 00:00:00,ceylanpınar,şanlıurfa,Ceylanpınar'da Asayiş Uygulaması,"  Ceylanpınar'da polis, güvenliği sağlamak için asayiş uygulamaları yaparak kimlik sorgusu yaptı.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
1571,2024-09-27 00:00:00,cide,kastamonu,Kastamonu'da Uyuşturucu Operasyonları: 6 Gözaltı,"  Cide ve Taşköprü'de düzenlenen operasyonlarda 6 şüpheli gözaltına alındı, sentetik uyuşturucu ele geçirildi.  ",Narkotik Suçları
1575,2024-04-09 00:00:00,cide,kastamonu,Kastamonu'da Patpatın Altında Kalan Vatandaş Hayatını Kaybetti,"  Cide ilçesinde, tamir etmek istediği patpatın altında kalan Mustafa Bakan hayatını kaybetti. Olay, Kanlıkoz köyünde meydana geldi ve Bakan, tarım aletinin kırılan parçasını tamir ederken üzerine devrilen patpatın altında kaldı. Cenazesi morga kaldırılırken, olayla ilgili soruşturma başlatıldı.  ",Şiddet Suçları
1577,2021-11-14 00:00:00,cihanbeyli,konya,Hafif ticari araç şarampole uçtu: 5 yaralı,  Hafif ticari araç şarampole uçtu: 5 yaralı Konya'nın Cihanbeyli ilçesinde refüj bariyerine çarparak şarampole uçan hafif ticari araçtaki 5 kişi yaralandı.  ,Şiddet Suçları
1580,2021-12-24 00:00:00,cihanbeyli,konya,Son Dakika | Konya'da sahte içki operasyonunda bir kişi yakalandı,  Son dakika gündem haberi: Konya'nın Cihanbeyli ilçesinde jandarma ekiplerince düzenlenen sahte içki operasyonunda bir zanlı gözaltına alındı.  ,Ekonomik Suçlar
1581,2021-04-28 00:00:00,cihanbeyli,konya,Konya'da baba ve 2 çocuğunun öldüğü kaza kamerada,"  Konya'nın Cihanbeyli ilçesinde hafif ticari araç ile motosikletin çarpışması sonucu, motosiklet sürücüsü baba ve 2 çocuğunun hayatını kaybettiği ve 1 kişinin de yaralandığı kazanın güvenlik kamera görüntüleri ortaya çıktı.  ",Şiddet Suçları
1582,2021-04-23 00:00:00,cihanbeyli,konya,"Hafif ticari araç motosikletle çarpıştı: 3 ölü, 1 yaralı","  Konya'nın Cihanbeyli ilçesinde, motosiklet ile hafif ticari aracın çarpıştığı kazada, motosiklette bulunan Suriye uyruklu 2'si çocuk 3 kişi hayatını kaybederken 1 kişi de ağır yaralandı.  ",Şiddet Suçları
1583,2021-04-29 00:00:00,cihanbeyli,konya,Konya'da baba ve 2 çocuğunun hayatını kaybettiği kaza kamerada,"  Konya'da baba ve 2 çocuğunun hayatını kaybettiği kaza kamerada Konya'nın Cihanbeyli ilçesinde hafif ticari araç ile motosikletin çarpışması sonucu, motosiklet sürücüsü baba ve 2 çocuğunun hayatını kaybettiği ve 1 kişinin de yaralandığı kazanın güvenlik kamera görüntüleri ortaya çıktı.  ",Şiddet Suçları
1584,2024-11-10 00:00:00,cizre,şırnak,Cizre'de Esnafa Dolandırıcılık Uyarısı,"  Polis, esnafı dolandırıcılığa karşı bilgilendirerek güvenlik önlemleri hakkında bilgi verdi.  ",Ekonomik Suçlar
1586,2024-10-30 00:00:00,cizre,şırnak,Cizre'de Trafik Kazası: 1 Ölü,  Şırnak'ın Cizre ilçesinde tır motosiklete çarparak sürücüsünü öldürdü; tır sürücüsü gözaltında.  ,Şiddet Suçları
1588,2024-09-26 00:00:00,cizre,şırnak,Cizre'de Aileler Arasında Kavga: 4 Yaralı,"  Cizre'de iki aile arasında çıkan kavgada 4 kişi yaralandı, olayla ilgili inceleme başlatıldı.  ",Şiddet Suçları
1595,2024-01-17 00:00:00,cumayeri,düzce,DÜZCE'de 3 Tosunun Saldırısına Uğrayan Adamı Kadın Sopayla Kurtardı,"  Düzce'nin Cumayeri ilçesinde bir besici, kendi beslediği 3 tosunun saldırısına uğradı. Tosunların boynuz darbeleriyle yere düşen besici, çevrede bulunan bir kadının sopayla müdahalesiyle kurtuldu. Olay anı cep telefonu kamerasıyla görüntülendi. Besici, olayı anlatırken kadının cesaretiyle kurtulduğunu belirtti.  ",Şiddet Suçları
1603,2023-03-31 00:00:00,daday,kastamonu,Yoldan çıkan otomobil tarlaya uçtu: 2 yaralı,  Kastamonu'nun Daday ilçesinde sürücüsünün direksiyon hakimiyetini kaybetmesi neticesinde yoldan çıkarak tarlaya uçan otomobildeki 2 kişi yaralandı.  ,Şiddet Suçları
1604,2023-11-20 00:00:00,daday,kastamonu,Kastamonu'da uyuşturucu operasyonunda 3 şüpheli gözaltına alındı,  Kastamonu İl Jandarma Komutanlığı ekipleri tarafından yapılan uyuşturucu operasyonunda Taşköprü ilçesinde H.E'nin ikametinde ve Daday ilçesinde K.K. ve K.Ö'nün üzerinde yapılan aramalarda metamfetamin ve ruhsatsız tabanca ele geçirildi. Olayla ilgili 3 şüpheli gözaltına alındı.  ,Narkotik Suçları
1606,2022-08-08 00:00:00,daday,kastamonu,"Hafriyat kamyonuna çarpan aracın sürücüsü genç, yaşam mücadelesini kaybetti",  Kastamonu'nun Daday ilçesinde hafriyat kamyonuna çarpması neticesinde ağır yaralanan hafif ticari aracın sürücüsü hayatını kaybetti.  ,Şiddet Suçları
1619,2022-05-04 00:00:00,damal,ardahan,Ardahan'da 2 hükümlü yakalandı,"  Ardahan'da haklarında çeşitli suçlardan kesinleşmiş hapis cezaları bulunan 2 kişi, jandarma ekiplerince yakalandı.  ",Şiddet Suçları
1625,2024-08-16 00:00:00,darende,malatya,Malatya'nın Darende ilçesinde yangında 5 ton kayısı odunu küle döndü,  Malatya'nın Darende ilçesinde çıkan yangında 5 ton kayısı odunu yanarak küle döndü. İtfaiye ekipleri tarafından kontrol altına alınan yangınla ilgili inceleme başlatıldı.  ,Mala Karşı İşlenen Suçlar
1629,2024-11-16 00:00:00,darende,malatya,Malatya'da Otomobil Şarampole Devrildi: 4 Yaralı,"  Darende ilçesinde meydana gelen kazada, kontrolden çıkan otomobil şarampole devrildi. Kazada 4 kişi yaralanırken, durumu ağır olan bir yaralı ambulans helikopter ile hastaneye sevk edildi.  ",Şiddet Suçları
1632,2024-12-07 00:00:00,dargeçit,mardin,Mardin Dargeçit'te PKK'ya yönelik operasyonlar için sokağa çıkma yasağı ilan edildi,"  Mardin Valiliği, Dargeçit ilçesine bağlı kırsal Sümer Mahallesi'nde PKK'ya yönelik operasyonların sona ermesine kadar sokağa çıkma yasağı ilan etti. Operasyonların vatandaşların can ve mal güvenliğini sağlamak amacıyla gerçekleştirileceği belirtildi.  ",Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
1636,2024-07-13 00:00:00,dargeçit,mardin,"Mardin Dargeçit'te PKK operasyonları sona erdi, sokağa çıkma yasağı kaldırıldı",  Mardin'in Dargeçit ilçesine bağlı kırsal Sümer Mahallesi'nde terör örgütü PKK'ya yönelik düzenlenen operasyonlar sona erdi. Operasyonlar nedeniyle ilan edilen sokağa çıkma yasağı da kaldırıldı.  ,Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
1638,2024-06-11 00:00:00,dargeçit,mardin,"Mardin'de Trafik Kazası: 3 Ölü, 5 Yaralı",  Mardin'in Dargeçit ilçesinde hafif ticari aracın devrilmesi sonucu 3 kişi hayatını kaybetti.  ,Şiddet Suçları
1641,2024-03-10 00:00:00,darıca,kocaeli,Darıca'da Otomobil-Motosiklet Çarpışması,"  Kocaeli'nin Darıca ilçesinde motosiklet sürücüsü kaza sonucunda yaralandı, soruşturma başlatıldı.  ",Şiddet Suçları
1642,2024-08-30 00:00:00,darıca,kocaeli,Darıca'da silahlı saldırıya ilişkin 5 şüpheli tutuklandı,"  Kocaeli'nin Darıca ilçesinde bir kişinin hayatını kaybettiği silahlı saldırıya ilişkin gözaltına alınan 12 şüpheliden 5'i tutuklandı. İl Emniyet Müdürlüğü ekipleri, Ahmet Satan'ın hurdacı dükkanının önünde beklerken bir araçtan ateş açılması sonucu ölümüne ilişkin 12 şüpheliyi gözaltına aldı. Tutuklanan şüphelilerin aynı zamanda başka bir olayın da zanlıları olduğu belirtildi.  ",Şiddet Suçları
1653,2024-12-11 00:00:00,datça,muğla,Datça'da Çalışanının Ölümü Şok Etti,"  Datça'da, 2 gün işe gelmeyen temizlik malzemeleri çalışanı evinde ölü bulundu. Soruşturma sürüyor.  ",Şiddet Suçları
1654,2024-04-10 00:00:00,datça,muğla,Datça Açıklarında 46 Düzensiz Göçmen Yakalandı,  Muğla'nın Datça ilçesi açıklarında iki ayrı olayda toplam 46 düzensiz göçmen yakalandı.  ,Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
1672,2023-07-13 00:00:00,delice,kırıkkale,"Tarlada dehşeti yaşadılar, kamyoneti üzerlerine sürdü: 1 ölü, 5 yaralı","  Kırıkkale'nin Delice ilçesinde bir genç, husumetlisi ile tartıştıktan sonra üzerlerine sürdüğü kamyonetle bir kişinin ölümüne, 5 kişinin de yaralanmasına neden oldu. Olayın şüphelisi gözaltına alındı.  ",Şiddet Suçları
1673,2023-08-18 00:00:00,delice,kırıkkale,"Kırıkkale'de Kamyonlar Çarpıştı: 1 Ölü, 2 Yaralı","  Kırıkkale'nin Delice ilçesinde, aynı yöne giden iki kamyonun çarpışması sonucu 1 kişi hayatını kaybetti, 2 kişi yaralandı. Kazada, kamyonlardan biri şarampole savrulurken diğeri devrildi. Olay yerine sağlık, polis ve jandarma ekipleri sevk edildi. Yaralıların sağlık durumlarının iyi olduğu belirtildi. Kazayla ilgili inceleme başlatıldı.  ",Şiddet Suçları
1678,2024-02-13 00:00:00,delice,kırıkkale,Husumetlisi olduğu dünürünü tüfekle öldürdü,"  Kırıkkale'nin Delice ilçesinde tartıştığı dünürü tarafından tüfekle vurulan 59 yaşındaki vatandaş, hastanede hayatını kaybetti. Olayın ardından kaçan şüpheli ise jandarma ekiplerince yakalanarak gözaltına alındı.  ",Şiddet Suçları
1679,2023-07-14 00:00:00,delice,kırıkkale,"Kamyonetle ezme olayı: 1 ölü, 4 yaralı","  Kırıkkale'nin Delice ilçesinde bir kişi, sabah saatlerinde tartıştığı kişileri akşam saatlerinde kamyonetiyle ezdi. Olayda 1 kişi hayatını kaybederken, 2'si ağır 4 kişi yaralandı. Şüpheli gözaltına alındı.  ",Şiddet Suçları
1680,2024-10-21 00:00:00,demirci,manisa,Fethiye'de Trafik Kazası: Sürücü Tutuklandı,  Fethiye'de Durkadın Demirci'ye çarparak kaçan 22 yaşındaki sürücü U.A. tutuklandı.  ,Şiddet Suçları
1684,2024-10-08 00:00:00,demirci,manisa,Manisa'da 212 Kilogram Gümrük Kaçağı Tütün Ele Geçirildi,"  Manisa'nın Demirci ilçesinde yapılan operasyonda, 212 kilogram gümrük kaçağı tütün, 11 kilogram kaçak nargile tütünü ve 88 bin 180 dolu makaron ele geçirildi. Bir şüpheli gözaltına alındı.  ",Ekonomik Suçlar
1687,2024-10-20 00:00:00,demirci,manisa,Fethiye'de Yaya Kazası: Bir Kişi Hayatını Kaybetti,"  Muğla Fethiye'de yaya Durkadın Demirci, otomobilin çarpması sonucu hayatını kaybetti.  ",Şiddet Suçları
1693,2024-04-25 00:00:00,demirköy,kırklareli,Kırklareli'nde kovalamaca sonucu 10 araçta 21 düzensiz göçmen yakalandı,  Demirköy İlçe Emniyet Müdürlüğü ile jandarma komutanlığı ekipleri ilçeye düzensiz göçmen getirileceği bilgisine ulaştı. Ekiplerin 'dur' ihtarına uymayan araçlardan bazıları polis ve jandarma araçlarına çarparak bölgeden uzaklaştı. Kovalamaca sonucu 10 araçta 21 düzensiz göçmen yakalandı. Göçmen kaçakçılığı yaptığı iddiasıyla 12 şüpheli gözaltına alındı. Düzensiz göçmenlerin emniyetteki işlemleri sürüyor.  ,Düzen ve Kamu Güvenliğine Karşı İşlenen Suçlar
1710,2023-08-09 00:00:00,demre,antalya,Antalya'da eski belediye başkanının cansız bedeni bulundu,  Antalya'nın Demre ilçesinde eski Belediye Başkanı Adnan Genç'in yaşadığı binanın bahçesinde komşuları tarafından ölü olarak bulundu. Genç'in intihar etmiş olabileceği üzerinde duruluyor.  ,Şiddet Suçları
1737,2024-11-19 00:00:00,dereli,giresun,Kocaeli'nde şüpheli ölüm: Okulda birinci kattan düşen lise öğrencisi hayatını kaybetti,  Kocaeli'nde 10'uncu sınıf öğrencisi bilinmeyen bir nedenle okuduğu okulun birinci kat penceresinden aşağı düşerek hayatını kaybetti.  ,Şiddet Suçları
1739,2024-08-16 00:00:00,dereli,giresun,Giresun'da feci kaza: 9 kişi ağır yaralı,  Giresun'un Dereli ilçesinde meydana gelen kafa kafaya çarpışma sonucu 9 kişi yaralandı. Yaralıların sağlık durumları ağır.  ,Şiddet Suçları
1741,2024-10-17 00:00:00,dereli,giresun,"Eski Hakem, Boğulma Tehlikesini Atlattı","  Selçuk Dereli, nefes borusuna yiyecek kaçan kadını Heimlich manevrasıyla kurtardı.  ",Şiddet Suçları
1742,2024-09-28 00:00:00,dereli,giresun,Cinayet sonrası polisin çalışmasını izlerken yakalanan şüpheli: Ben deliyim,"  Antalya'da vale Osman Dere ile tartışıp bıçakla yaraladıktan 15 dakika sonra aynı sokakta tartıştığı Deniz Akten'i 20 bıçak darbesiyle öldüren ve sonrasında olay yerinde polisin çalışmasını izlerken yakalanan Polat Dereli, ifadesinde ""Cinayeti ben işlemedim. Ben deliyim"" dedi. Basın mensuplarının ""Madem cinayeti sen işlemedin, başkası senin silüetine bürünerek mi işledi"" sorusuna da ""Doğrudur"" cevabını verdi.  ",Şiddet Suçları
